"Queen of the Damned",Anne Rice,On Shelf,01,Horror
"The Vampire Lestat",Anne Rice,On Shelf,02,Horror,null
"The Witching Hour",Anne Rice,On Shelf,03,Horror,null
"It",Stephen King,On Shelf,04,Horror,null
"Alicia en el Pais de Maravillas",Lewis Carroll,On Shelf,05,Children,null
"Winnie The Pooh",A. A. Mine,On Shelf,06,Children,null
"One Foot Two Foot Red Fish Blue Fish",Dr. Seuss,On Shelf,07,Children,null
"The Little Red Hen",Diane Muldrow,Checked Out,08,Children,2019-07-23
"Harry Potter and The Philosopher's Stone",J.K. Rowling,On Shelf,09,Mystery,null
"Harry Potter and The Chamber of Secrets",J.K. Rowling,On Shelf,10,Mystery,null
"Harry Potter and The Prisoner of Azkaban",J.K. Rowling,On Shelf,11,Mystery,null
"Harry Potter and the Goblet of Fire",J.K. Rowling,On Shelf,12,Mystery,null
"Who says you can't you do",Daniel Chidiac,On Shelf,13,Inspirational,null
"The 48 laws of power",Robert Greene,On Shelf,14,Inspirational,null
"The Alchemist",Paulo Coelho,On Shelf,15,Inspirational,null
"The Power of Habit",Charles Duhigg,On Shelf,16,Inspirational,null
